date,entry_time,spot_price,atm,ce_strike,pe_strike,expiry,entry_ce,entry_pe,exit_time,exit_spot_price,exit_ce,exit_pe,exit_reason,pnl
2025-01-16,2025-01-16 09:15:00,23656.0,23650,23750,23550,2025-01-23,35.65,285.0,2025-01-16 09:22:00,23672.9,36.55,277.55,SL,-6.54999999999999
2025-01-17,2025-01-17 09:15:00,23573.75,23550,23650,23450,2025-01-23,40.85,298.4,2025-01-17 09:25:00,23422.0,35.6,289.45,SL,-14.199999999999989
2025-01-20,2025-01-20 09:15:00,23305.0,23300,23400,23200,2025-01-23,97.65,122.15,2025-01-20 09:25:00,23259.9,94.35,161.55,Target,36.099999999999994
2025-01-21,2025-01-21 09:15:00,23423.75,23400,23500,23300,2025-01-23,81.35,92.8,2025-01-21 09:17:00,23435.0,82.85,85.5,SL,-5.799999999999997
2025-01-22,2025-01-22 09:15:00,23125.0,23100,23200,23000,2025-01-23,64.45,69.95,2025-01-22 09:25:00,23130.15,69.25,70.15,Target,5.0
2025-01-23,2025-01-23 09:15:00,23430.1,23450,23550,23350,2025-01-30,46.5,305.5,2025-01-23 09:25:00,23151.55,47.55,299.65,Target,-4.800000000000026
2025-01-24,2025-01-24 09:15:00,23410.0,23400,23500,23300,2025-01-30,90.35,196.0,2025-01-24 09:25:00,23291.45,96.25,191.5,Target,1.4000000000000057
2025-01-27,2025-01-27 09:15:00,23101.05,23100,23200,23000,2025-01-30,79.25,188.95,2025-01-27 09:25:00,23104.45,76.5,183.45,SL,-8.25
2025-01-28,2025-01-28 09:15:00,23210.0,23200,23300,23100,2025-01-30,31.65,231.2,2025-01-28 09:25:00,22939.05,35.2,244.75,Target,17.100000000000016
2025-01-29,2025-01-29 09:15:00,23298.95,23300,23400,23200,2025-01-30,17.55,235.05,2025-01-29 09:16:00,23152.0,18.0,226.95,SL,-7.6500000000000234
2025-01-30,2025-01-30 09:15:00,23277.55,23300,23400,23200,2025-02-06,249.1,348.85,2025-01-30 09:25:00,23312.4,271.15,337.95,Target,11.149999999999949
2025-01-31,2025-01-31 09:15:00,23715.0,23700,23800,23600,2025-02-06,127.05,453.35,2025-01-31 09:25:00,23460.8,141.35,428.95,Target,-10.100000000000037
2025-02-01,2025-02-01 09:15:00,23756.05,23750,23850,23650,2025-02-06,116.85,282.35,2025-02-01 09:16:00,23605.1,104.0,277.8,SL,-17.400000000000006
2025-02-03,2025-02-03 09:15:00,23660.0,23650,23750,23550,2025-02-06,21.45,278.3,2025-02-03 09:25:00,23365.25,20.9,283.65,Target,4.799999999999965
2025-02-04,2025-02-04 09:15:00,23820.05,23800,23900,23700,2025-02-06,9.95,240.05,2025-02-04 09:16:00,23834.4,10.45,233.3,SL,-6.25
2025-02-05,2025-02-05 09:15:00,24113.35,24100,24200,24000,2025-02-06,3.95,275.6,2025-02-05 09:25:00,23821.25,4.15,289.1,Target,13.7
2025-02-06,2025-02-06 09:15:00,24082.0,24100,24200,24000,2025-02-13,43.5,347.1,2025-02-06 09:18:00,24094.0,43.65,339.05,SL,-7.900000000000013
2025-02-07,2025-02-07 09:15:00,23696.85,23700,23800,23600,2025-02-13,124.1,167.5,2025-02-07 09:25:00,23665.85,113.9,189.6,Target,11.900000000000006
