date,entry_time,spot_price,atm,expiry,entry_ce,entry_pe,exit_time,exit_spot_price,exit_ce,exit_pe,pnl
2023-05-04,2023-05-04 09:20:00,18280.0,18300,2023-05-11,30.25,214.4,2023-05-04 15:25:00,18279.05,64.8,114.25,-65.60000000000001
2023-05-05,2023-05-05 09:20:00,18219.6,18200,2023-05-11,79.0,91.75,2023-05-05 15:25:00,18265.0,43.4,152.65,25.300000000000004
2023-05-08,2023-05-08 09:20:00,18343.0,18350,2023-05-11,21.35,192.5,2023-05-08 15:25:00,18323.0,42.2,103.0,-68.65
2023-05-09,2023-05-09 09:20:00,18336.45,18350,2023-05-11,46.0,89.0,2023-05-09 15:25:00,18365.25,28.1,104.75,-2.1499999999999986
2023-05-10,2023-05-10 09:20:00,18415.0,18400,2023-05-11,24.15,101.65,2023-05-10 15:25:00,18341.1,14.65,101.85,-9.30000000000001
2023-05-11,2023-05-11 09:20:00,18366.9,18350,2023-05-18,105.25,105.8,2023-05-11 15:25:00,18359.0,92.45,103.4,-15.199999999999989
2023-05-12,2023-05-12 09:20:00,18282.1,18300,2023-05-18,78.45,117.45,2023-05-12 15:25:00,18332.35,96.95,80.35,-18.60000000000001
2023-05-15,2023-05-15 09:20:00,18348.9,18350,2023-05-18,77.85,90.7,2023-05-15 15:25:00,18467.5,98.7,54.15,-15.699999999999996
2023-05-16,2023-05-16 09:20:00,18525.0,18500,2023-05-18,28.9,134.8,2023-05-16 15:25:00,18325.0,8.55,207.2,52.04999999999998
2023-05-17,2023-05-17 09:20:00,18300.0,18300,2023-05-18,47.2,70.2,2023-05-17 15:25:00,18225.0,9.9,112.8,5.29999999999999
2023-05-18,2023-05-18 09:20:00,18305.1,18300,2023-05-25,102.7,98.15,2023-05-18 15:25:00,18183.05,46.6,165.95,11.699999999999982
2023-05-19,2023-05-19 09:20:00,18171.9,18150,2023-05-25,105.8,84.6,2023-05-19 15:25:00,18227.25,127.55,51.15,-11.699999999999996
2023-05-22,2023-05-22 09:20:00,18254.0,18250,2023-05-25,82.55,78.6,2023-05-22 15:25:00,18324.2,114.4,41.9,-4.849999999999987
2023-05-23,2023-05-23 09:20:00,18378.0,18400,2023-05-25,53.65,75.0,2023-05-23 15:25:00,18357.0,34.05,77.75,-16.85
2023-05-24,2023-05-24 09:20:00,18297.9,18300,2023-05-25,51.5,56.0,2023-05-24 15:25:00,18297.3,40.15,41.6,-25.75
2023-05-25,2023-05-25 09:20:00,18442.45,18450,2023-06-01,51.05,185.85,2023-05-25 15:25:00,18324.0,53.9,149.35,-33.65
2023-05-26,2023-05-26 09:20:00,18422.9,18400,2023-06-01,72.55,119.6,2023-05-26 15:25:00,18565.75,149.9,52.9,10.65000000000002
2023-05-29,2023-05-29 09:20:00,18768.1,18750,2023-06-01,34.05,147.35,2023-05-29 15:25:00,18745.0,20.1,163.55,2.2500000000000213
2023-05-30,2023-05-30 09:20:00,18691.9,18700,2023-06-01,39.0,112.6,2023-05-30 15:25:00,18718.5,33.4,84.6,-33.6
2023-05-31,2023-05-31 09:20:00,18787.05,18800,2023-06-01,3.35,236.25,2023-05-31 15:25:00,18794.35,1.35,244.65,6.400000000000006
2023-06-01,2023-06-01 09:20:00,18705.75,18700,2023-06-08,52.95,174.55,2023-06-01 15:25:00,18571.0,34.25,215.7,22.449999999999974
2023-06-02,2023-06-02 09:20:00,18653.0,18650,2023-06-08,68.45,119.9,2023-06-02 15:25:00,18794.9,46.3,130.65,-11.400000000000006
2023-06-05,2023-06-05 09:20:00,18854.05,18850,2023-06-08,10.65,228.3,2023-06-05 15:25:00,18780.0,6.2,228.65,-4.100000000000006
2023-06-06,2023-06-06 09:20:00,18683.6,18700,2023-06-08,28.55,114.55,2023-06-06 15:25:00,18679.55,19.7,102.1,-21.300000000000004
2023-06-07,2023-06-07 09:20:00,18712.5,18700,2023-06-08,25.85,74.75,2023-06-07 15:25:00,18962.0,57.85,28.6,-14.149999999999999
2023-06-08,2023-06-08 09:20:00,18810.3,18800,2023-06-15,82.1,118.6,2023-06-08 15:25:00,18887.15,39.45,165.8,4.550000000000026
2023-06-09,2023-06-09 09:20:00,18801.7,18800,2023-06-15,39.35,157.5,2023-06-09 15:25:00,18811.8,17.7,226.6,47.44999999999999
2023-06-12,2023-06-12 09:20:00,18631.6,18650,2023-06-15,54.1,110.95,2023-06-12 15:25:00,18863.5,63.5,74.25,-27.300000000000004
2023-06-13,2023-06-13 09:20:00,18740.9,18750,2023-06-15,35.3,94.6,2023-06-13 15:25:00,18777.9,43.35,67.4,-19.149999999999984
2023-06-14,2023-06-14 09:20:00,18784.9,18800,2023-06-15,21.4,89.3,2023-06-14 15:25:00,18812.3,22.5,67.35,-20.85
2023-06-15,2023-06-15 09:20:00,18868.0,18850,2023-06-22,56.6,146.25,2023-06-15 15:25:00,18745.0,34.65,168.15,-0.04999999999999716
2023-06-16,2023-06-16 09:20:00,18802.0,18800,2023-06-22,66.7,96.0,2023-06-16 15:25:00,18894.8,109.8,53.75,0.8499999999999943
2023-06-19,2023-06-19 09:20:00,18915.85,18900,2023-06-22,63.1,82.75,2023-06-19 15:25:00,18840.0,27.3,124.2,5.650000000000006
2023-06-20,2023-06-20 09:20:00,18758.5,18750,2023-06-22,50.25,80.9,2023-06-20 15:25:00,18881.0,111.5,20.95,1.2999999999999972
2023-06-21,2023-06-21 09:20:00,18853.0,18850,2023-06-22,35.1,70.3,2023-06-21 15:25:00,19069.5,43.85,35.3,-26.25
2023-06-22,2023-06-22 09:20:00,19045.0,19050,2023-06-29,28.75,207.25,2023-06-22 15:25:00,19008.0,16.05,230.1,10.149999999999995
2023-06-23,2023-06-23 09:20:00,18931.0,18950,2023-06-29,20.3,225.35,2023-06-23 15:25:00,18705.0,10.3,252.55,17.200000000000017
2023-06-26,2023-06-26 09:20:00,18701.15,18700,2023-06-29,76.75,76.45,2023-06-26 15:25:00,18711.5,70.7,58.55,-23.950000000000003
2023-06-27,2023-06-27 09:20:00,18747.05,18750,2023-06-29,55.8,58.3,2023-06-27 15:25:00,18811.0,76.25,17.8,-20.049999999999997
2023-06-30,2023-06-30 09:20:00,19319.3,19300,2023-07-06,18.15,232.0,2023-06-30 15:25:00,19267.0,34.85,143.55,-71.74999999999999
